collection,scope,path_name,platform_center_x,platform_center_y,platform_center_z,platform_sphere_radius_m,projection_voxel_m,sor_k,sor_std_ratio,method
IHTest_202009_DistStA,path,Path1_DistStA,6.436509,70.008696,27.612919,4.0,0.03,50,2.0,manual
IHTest_202009_DistStA,path,Path3_DistStA,54.604298,8.00510,54.091385,4.0,0.03,50,2.0,manual
IHTest_202009_DistStA,path,Path4_DistStA,256.288985,10.267442,68.388104,4.0,0.03,50,2.0,manual
IHTest_202009_DistStA,path,Path5_DistStA,-0.520216,0.453179,70.280891,4.0,0.03,50,2.0,manual
IHTest_202009_DistStA,path,Path6_DistStA,64.623429,43.077994,78.090022,4.0,0.03,50,2.0,manual
IHTest_202009_DistStA,path,Path8_DistStA,48.39033,-10.942251,101.885519,4.0,0.03,50,2.0,manual
IHTest_202104_DistStA,path,Path1_DistStA,-0.437581,-0.012369,-0.188484,4.0,0.03,50,2.0,manual
IHTest_202108_DistStA,collection,,-0.109999,-0.001428,-0.155019,4.0,0.03,50,2.0,manual
IHTest_202204_DistStA-20221110,collection,,-0.109999,-0.001428,-0.155019,4.0,0.03,50,2.0,manual
